flightid,flightno,airlineid,fromairportid,toairportid,numofstops,weekdays,departuretime,arrivaltime,distance,duration,flightstatusid,statusid,optionalnote,departuredatetime,arrivingdatetime,inserttime
2125,8697,2850,3061,3093,0,WeMoSu,12:40:00,6:08:00,96,11:55:00,1071,4,,8/7/09 22:44,3/11/16 12:16,15:08:00
5678,95600,24,3576,3988,0,MoThSa,5:31:00,20:35:00,6423,15:38:00,2926,5,,10/12/14 21:11,3/11/16 21:46,23:13:00
9213,2696,137,4113,3682,0,SuFr,20:36:00,1:53:00,5670,12:31:00,4776,4,,7/24/02 13:28,3/10/16 4:57,14:55:00
11674,1653,439,156,3720,0,SaMoTh,19:09:00,8:52:00,10,7:31:00,6138,5,,9/5/00 3:16,3/11/16 14:51,20:24:00
13728,83881,3029,3797,3577,0,FrMo,4:29:00,1:04:00,90,17:09:00,7179,6,,5/25/11 12:17,3/11/16 8:23,20:25:00
26296,58415,4296,1626,304,0,FrWeTh,10:13:00,22:35:00,803,22:47:00,13790,6,,11/5/97 21:36,3/10/16 3:21,20:26:00
26473,11348,4296,645,1209,0,FrThMo,7:25:00,16:21:00,30,10:37:00,13889,1,,5/11/97 3:49,3/9/16 8:38,22:22:00
28982,32947,329,7490,2191,0,FrThSaMo,1:26:00,2:05:00,5360,21:02:00,15248,3,,1/10/17 23:05,3/9/16 20:58,20:25:00
28982,32947,329,7490,2191,0,FrThSaMo,1:26:00,2:05:00,5360,21:02:00,15249,5,,11/16/09 8:59,3/11/16 20:33,23:41:00
29060,23663,329,2992,2191,0,Mo,23:22:00,18:03:00,506,20:01:00,15295,3,,4/22/04 19:19,3/8/16 23:00,10:53:00
30025,36121,4737,2645,2662,0,WeThFrSa,18:15:00,0:34:00,33,0:14:00,15831,1,,2/9/96 20:28,3/10/16 13:32,13:17:00
30389,3347,3081,3406,2264,0,Fr,13:37:00,17:07:00,9679,19:46:00,16032,5,,7/17/05 19:14,3/8/16 6:26,14:49:00
38326,66571,9810,3930,2246,0,WeSa,20:24:00,10:05:00,498,10:16:00,20202,3,,8/19/02 22:22,3/8/16 8:53,20:25:00
38571,72199,3197,1885,1889,0,ThMoSaTu,10:58:00,19:59:00,129,18:05:00,20346,2,,5/19/00 12:26,3/8/16 16:14,17:37:00
42464,92175,324,2279,3364,0,TuThMoSa,5:00:00,10:35:00,672,17:46:00,22398,1,,2/19/01 22:32,3/10/16 23:12,1:09:00
44426,57859,28,3388,3930,0,SuSa,23:23:00,12:45:00,6712,22:22:00,23478,6,,6/10/09 10:16,3/9/16 20:54,22:06:00
44646,78260,3926,1682,1706,0,SuFr,23:52:00,12:38:00,7194,7:42:00,23599,4,,5/7/05 1:02,3/8/16 12:52,11:45:00
44736,16618,3926,4317,4330,0,TuFrThSu,10:09:00,5:47:00,86,6:40:00,23649,4,,6/2/10 13:12,3/11/16 21:53,9:10:00
48912,58872,4319,737,729,0,WeThSuMo,8:49:00,2:01:00,3072,23:03:00,25822,6,,8/4/09 20:49,3/8/16 12:47,22:14:00
53331,21891,4870,287,1229,0,MoFrWeSu,19:57:00,1:18:00,26,3:54:00,28206,4,,5/5/06 21:03,3/8/16 11:28,5:33:00
53573,34777,2297,1218,1354,0,ThTuWeMo,2:58:00,8:26:00,1373,21:00:00,28366,2,,1/18/14 8:25,3/10/16 20:14,7:34:00
53881,19822,2297,4091,502,0,SuTuTh,2:17:00,0:48:00,14,18:26:00,28532,2,,10/7/13 23:59,3/9/16 2:10,19:29:00
55445,44585,5209,3494,3550,0,MoThSaTu,6:55:00,5:15:00,41,21:41:00,29312,5,,2/2/14 7:19,3/9/16 22:15,4:22:00
61444,37416,2439,1386,1218,0,Tu,21:19:00,13:03:00,26,19:15:00,32477,6,,7/13/11 18:57,3/9/16 4:28,15:39:00
64326,32958,2681,3998,346,0,SuTuFr,20:19:00,20:16:00,639,3:44:00,34083,1,,2/7/03 20:05,3/8/16 1:14,20:35:00
65157,22352,16133,3125,3129,0,Fr,22:19:00,13:41:00,613,22:24:00,34440,6,,5/15/09 6:43,3/10/16 4:29,20:44:00
