"airportid","airportname","city","countryid","alias","latitude","longitude","altitude","timezone"
"1","Goroka","Goroka","1","GKA","-6.081689","145.391881","5282","10"
"2","Madang","Madang","1","MAG","-5.207083","145.7887","20","10"
"3","Mount Hagen","Mount Hagen","1","HGU","-5.826789","144.295861","5388","10"
"4","Nadzab","Nadzab","1","LAE","-6.569828","146.726242","239","10"
"5","Port Moresby Jacksons Intl","Port Moresby","1","POM","-9.443383","147.22005","146","10"
"6","Wewak Intl","Wewak","1","WWK","-3.583828","143.669186","19","10"
"7","Narsarsuaq","Narssarssuaq","2","UAK","61.160517","-45.425978","112","-3"
"8","Nuuk","Godthaab","2","GOH","64.190922","-51.678064","283","-3"
"9","Sondre Stromfjord","Sondrestrom","2","SFJ","67.016969","-50.689325","165","-3"
"10","Thule Air Base","Thule","2","THU","76.531203","-68.703161","251","-4"
"11","Akureyri","Akureyri","3","AEY","65.659994","-18.072703","6","0"
"12","Egilsstadir","Egilsstadir","3","EGS","65.283333","-14.401389","76","0"
"13","Hornafjordur","Hofn","3","HFN","64.295556","-15.227222","24","0"
"14","Husavik","Husavik","3","HZK","65.952328","-17.425978","48","0"
"15","Isafjordur","Isafjordur","3","IFJ","66.058056","-23.135278","8","0"
"16","Keflavik International Airport","Keflavik","3","KEF","63.985","-22.605556","171","0"
"17","Patreksfjordur","Patreksfjordur","3","PFJ","65.555833","-23.965","11","0"
"18","Reykjavik","Reykjavik","3","RKV","64.13","-21.940556","48","0"
"19","Siglufjordur","Siglufjordur","3","SIJ","66.133333","-18.916667","10","0"
"20","Vestmannaeyjar","Vestmannaeyjar","3","VEY","63.424303","-20.278875","326","0"
"21","Sault Ste Marie","Sault Sainte Marie","4","YAM","46.485001","-84.509445","630","-5"
"22","Winnipeg St Andrews","Winnipeg","4","YAV","50.056389","-97.0325","760","-6"
"23","Shearwater","Halifax","4","YAW","44.639721","-63.499444","167","-4"
"24","St Anthony","St. Anthony","4","YAY","51.391944","-56.083056","108","-4"
"25","Tofino","Tofino","4","YAZ","49.082222","-125.7725","80","-8"
"26","Kugaaruk","Pelly Bay","4","YBB","68.534444","-89.808056","56","-7"
"27","Baie Comeau","Baie Comeau","4","YBC","49.1325","-68.204444","71","-5"
"28","Bagotville","Bagotville","4","YBG","48.330555","-70.996391","522","-5"
"29","Baker Lake","Baker Lake","4","YBK","64.298889","-96.077778","59","-6"
"30","Campbell River","Campbell River","4","YBL","49.950832","-125.270833","346","-8"
"31","Brandon Muni","Brandon","4","YBR","49.91","-99.951944","1343","-6"
"32","Cambridge Bay","Cambridge Bay","4","YCB","69.108055","-105.138333","90","-7"
"33","Nanaimo","Nanaimo","4","YCD","49.052333","-123.870167","93","-8"
"34","Castlegar","Castlegar","4","YCG","49.296389","-117.6325","1624","-8"
"35","Miramichi","Chatham","4","YCH","47.007778","-65.449167","108","-4"
"36","Charlo","Charlo","4","YCL","47.990833","-66.330278","132","-4"
"37","Kugluktuk","Coppermine","4","YCO","67.816667","-115.143889","74","-7"
"38","Coronation","Coronation","4","YCT","52.075001","-111.445278","2595","-7"
"39","Chilliwack","Chilliwack","4","YCW","49.152779","-121.93889","32","-8"
"40","Clyde River","Clyde River","4","YCY","70.486111","-68.516667","87","-5"
"41","Fairmont Hot Springs","Coral Harbour","4","YZS","64.193333","-83.359444","2661","-5"
"42","Dawson City","Dawson","4","YDA","64.043056","-139.127778","1215","-8"
"43","Burwash","Burwash","4","YDB","61.371111","-139.040556","2647","-8"
"44","Princeton","Princeton","4","YDC","49.468056","-120.511389","2298","-8"
