"airlineid","airlinename","alias","countryid"
"1","Private flight","","0"
"2","135 Airways","","16"
"3","1Time Airline","","32"
"4","2 Sqn No 1 Elementary Flying Training School","","19"
"5","213 Flight Unit","","190"
"6","223 Flight Unit State Airline","","190"
"7","224th Flight Unit","","190"
"8","247 Jet Ltd","","19"
"9","3D Aviation","","16"
"10","40-Mile Air","","16"
"11","4D Air","","204"
"12","611897 Alberta Limited","","4"
"13","Ansett Australia","","125"
"14","Abacus International","","211"
"15","Abelag Aviation","","14"
"16","Army Air Corps","","19"
"17","Aero Aviation Centre Ltd.","","4"
"18","Aero Servicios Ejecutivos Internacionales","","111"
"19","Aero Biniza","","111"
"20","Aero Albatros","","60"
"21","Aigle Azur","","86"
"22","Aloha Airlines","","16"
"23","Alaska Island Air","","16"
"24","American Airlines","","16"
"25","Aviation Management Corporation","","16"
"26","Atlantis Airlines (USA)","","16"
"27","Aerovista Airlines","","143"
"28","Asiana Airlines","","241"
"29","Askari Aviation","","145"
"30","Australia Asia Airlines","","125"
"31","Astro Air International","","16"
"32","Afriqiyah Airways","","75"
"33","Afrinat International Airlines","","59"
"34","Afric'air Express","","242"
"35","Allegiant Air","","16"
"36","Angus Aviation","","4"
"37","Artem-Avia","","191"
"38","African Business and Transportations","","243"
"39","Aban Air","","137"
"40","Aerial Oy","","18"
"41","Abakan-Avia","","190"
"42","ABSA - Aerolinhas Brasileiras","","160"
"43","Abaet","","160"
"44","Alberta Citylink","","4"
"45","APSA Colombia","","164"
"46","Aerovias Bueno","","164"
"47","Aerocenter","","244"
"48","Antrak Air","","8"
"49","Airborne Express","","16"
"50","ABX Air","","16"
"51","ATA Brasil","","160"
"52","Avcard Services","","19"
"53","Academy Airlines","","16"
"54","Aero Comondu","","111"
"55","Astral Aviation","","74"
"56","Air Cess","","63"
"57","Air Aurora","","16"
"58","Air Cargo Transportation System","","74"
"59","Air Charter Service","","19"
"60","Aero Asia International","","145"
"61","Air Charters","","4"
"62","Air Togo","","13"
"63","Air Somalia","","245"
"64","Atlas Cargo Lines","","64"
"65","Airservices Australia","","125"
"66","Advance Leasing Company","","16"
"67","Aztec Worldwide Airlines","","16"
"68","Air Tindi","","246"
"69","Antonov Airlines","","191"
"70","Air Atlantic Dominicana","","107"
"71","Advanced Air Co.","","156"
"72","Ada Air","","81"
"73","Aerea Flying Training Organization","","60"
"74","Audeli Air","","60"
"75","Abicar","","242"
"76","ADC Airlines","","10"
"77","Aero Dynamics","","19"
"78","Aerolineas Dominicanas","","107"
"79","Aerodienst GmbH","","15"
"80","Aerodiplomatic","","111"
"81","Aerodyne","","16"
"82","Avion Taxi","","4"
"83","Adria Airways","","90"
"84","Aviones de Sonora","","111"
"85","Air Dorval","","4"
"86","Airdeal Oy","","18"
"87","Advance Air Charters","","4"
"88","Air Andaman","","204"
"89","Anderson Aviation","","16"
"90","Air Europa","","60"
"91","Air Southwest Ltd.","","4"
"92","Air Special","","91"
"93","Aero Benin","","6"
"94","Aerocesar","","247"
"95","Aerotrans Airlines","","190"
"96","Aegean Airlines","","85"
"97","Aerofumigaciones Sam","","161"
"98","Aeroexpreso Interamericano","","164"
"99","Air Express","","79"
"100","Aerocon","","165"
"101","Aero Madrid","","60"
"102","Aeroenlaces Nacionales","","111"
"103","Aeroservicios Ejecutivos Del Occidente","","111"
"104","Aerotec","","60"
"105","Air Atlantique","","19"
"106","Air Europe","","89"
"107","Air Alma","","4"
"108","Air Express","","31"
"109","Alaska Central Express","","16"
"110","ACES Colombia","","164"
"111","Aeronautical Radio of Thailand","","204"
"112","Astraeus","","19"
"113","Aeroventas","","111"
"114","Aerosvit Airlines","","191"
"115","Airway Express","","16"
"116","Air Italy","","89"
"117","Aerial Transit Company","","16"
"118","Alfa Air","","91"
"119","American Falcon","","138"
"120","Alliance Airlines","","125"
"121","Air Universal","","61"
"122","Auvia Air","","205"
"123","African West Air","","65"
"124","Airfast Indonesia","","205"
"125","Ariana Afghan Airlines","","134"
"126","Air Fecteau","","4"
"127","Africaone","","80"
"128","Alliance","","80"
"129","Africa Air Links","","61"
"130","Aeroflot Russian Airlines","","190"
"131","Aero Empresa Mexicana","","111"
"132","Air Bosna","","96"
"133","Air Bravo","","80"
"134","Air Brasd'or","","4"
"135","Air 500","","4"
"136","Alba Servizi Aerotrasporti","","89"
"137","Air France","","86"
"138","Air Partner","","19"
"139","Air Caledonie International","","86"
"140","Air Caledonia","","4"
"141","Air Guam","","16"
"142","Air Gabon","","50"
"143","Air Data","","19"
"144","Air Afrique Vacancies","","242"
"145","Air Cargo America","","16"
"146","Air Salone","","61"
"147","Air-Angol","","48"
"148","Air Nigeria","","10"
"149","Air Cargo Carriers","","16"
"150","Air Samarkand","","194"
"151","Air Senegal International","","65"
"152","Air Sandy","","4"
"153","Air Namibia","","228"
"154","Air Intersalonika","","85"
"155","Air Anatolia","","99"
"156","Air Saigon","","206"
"157","Afrique Regional Airways","","242"
"158","Airfreight Express","","19"
"159","Africa Chartered Services","","10"
"160","Africa Freight Services","","43"
"161","Aeronaves Del Centro","","170"
"162","Air Service Gabon","","50"
"163","Arab Agricultural Aviation Company","","73"
"164","Atlantic Gulf Airlines","","16"
"165","Aerolitoral","","111"
"166","Algoma Airways","","4"
"167","Altagna","","86"
"168","Angola Air Charter","","48"
"169","Angola Air Charter","","48"
"170","AERFI Group","","25"
"171","Aerogala","","161"
"172","Amadeus Global Travel Distribution","","60"
"173","Angara Airlines","","190"
"174","Air Glaciers","","98"
"175","Aero Gambia","","59"
"176","Aviogenex","","103"
"177","Atlantic Coast Airlines","","16"
"178","Aero Barloz","","111"
"179","Aeroper","","168"
"180","Atlas Blue","","64"
"181","Aero Banobras","","111"
"182","Aero Flight Service","","16"
"183","Agrolet-Mci","","105"
"184","Air Alpha Greenland","","26"
"185","Azal Avia Cargo","","189"
"186","Airport Helicopter Basel","","248"
"187","Aeroservices Corporate","","86"
"188","Aspen Helicopters","","16"
"189","Aerochago Airlines","","107"
"190","Airplanes Holdings","","25"
"191","Air Hong Kong","","199"
"192","Aerochiapas","","111"
"193","Air Adriatic","","84"
"194","Air Viggi San Raffaele","","89"
"195","ABC Air Hungary","","88"
"196","Aeromist-Kharkiv","","191"
"197","Azerbaijan Airlines","","189"
"198","Avies","","17"
"199","Airbus Industrie","","86"
"200","Alpine Air Chile","","161"
"201","Air Integra","","4"
"202","ABC Aerolineas","","111"
"203","African Airlines International Limited","","74"
"204","African International Airways","","36"
"205","Alpine Air Express","","16"
"206","Alicante Internacional Airlines","","60"
"207","Aba Air","","91"
"208","Airblue","","145"
"209","Airmark Aviation","","204"
"210","Airlift International","","16"
"211","Airest","","17"
"212","Air Baffin","","4"
"213","Air Bandama","","242"
"214","Air Berlin","","15"
"215","Air Brousse","","4"
"216","Air Contractors","","25"
"217","Air Illinois","","16"
"218","Air India Limited","","195"
"219","Air Inter Gabon","","50"
"220","Air Bourbon","","46"
"221","Air Atlanta Icelandic","","3"
"222","Air Inuit","","4"
"223","Air Sureste","","60"
"224","Air Srpska","","96"
"225","Air Tahiti Nui","","86"
"226","Airvias S/A Linhas Aereas","","160"
"227","Aero Services Executive","","86"
"228","Atlantic Island Airways","","4"
"229","Aircruising Australia","","125"
"230","Aircrew Check and Training Australia","","125"
"231","Arkia Israel Airlines","","92"
"232","A J Services","","19"
"233","Aero JBR","","111"
"234","Aero Jet Express","","111"
"235","Avia Consult Flugbetriebs","","94"
"236","Ameristar Jet Charter","","16"
"237","A2 Jet Leasing","","16"
"238","Allied Air","","10"
"239","Air Jamaica","","110"
"240","Air One","","89"
"241","Air Sahara","","195"
"242","Air Malta","","93"
"243","Aeroejecutivo","","111"
"244","Aero Jets Corporativos","","111"
"245","Aeroejecutivos Colombia","","164"
"246","Amerijet International","","16"
"247","Air Jetsul","","95"
"248","ANA & JP Express","","156"
"249","Alpha Jet International","","16"
"250","Air Japan","","156"
"251","Ajet","","83"
"252","Air Korea Co. Ltd.","","241"
"253","Air Livonia","","17"
"254","Air BC","","4"
"255","Air Fret Senegal","","65"
"256","Air Jamahiriya Company","","75"
"257","Aktjubavia","","187"
"258","Arca Aerovias Colombianas Ltda.","","164"
"259","Anikay Air Company","","188"
"260","Akhal","","159"
"261","Aeromilenio","","111"
"262","Aklak Air","","4"
"263","Air Kiribati","","124"
"264","Alkan Air","","4"
"265","Angkor Airways","","197"
"266","Air Nippon Network Co. Ltd.","","156"
"267","AK Navigator LLC","","187"
"268","Aero Albatros","","111"
"269","Albion Aviation","","19"
"270","Aeroalas Colombia","","164"
"271","Allied Command Europe (Mobile Force)","","14"
"272","Aerotaxis Albatros","","111"
"273","American Flyers","","16"
"274","Aero Coach Aviation","","16"
"275","Atlantic Southeast Airlines","","16"
"276","ACM Air Charter","","15"
"277","Air Logistics","","16"
"278","Aerovallarta","","111"
"279","Air ALM","","182"
"280","Air Lincoln","","16"
"281","America West Airlines","","16"
"282","Air Wisconsin","","16"
"283","Aerotransporte de Carga Union","","111"
"284","Aero Taxis Cessna","","111"
"285","Arizona Express Airlines","","16"
"286","Tatarstan Airlines","","190"
"287","Allegheny Commuter Airlines","","16"
"288","Alpliner AG","","98"
"289","Altair Aviation (1986)","","4"
"290","Air Luxor STP","","51"
"291","Alas de Venezuela","","170"
"292","Alas Nacionales","","249"
"293","Alyeska Air Service","","16"
"294","Alta Flights (Charters) Ltd.","","4"
"295","Air Sunshine","","16"
"296","ATMA","","187"
"297","Aerolineas Medellin","","164"
"298","Ameriflight","","16"
"299","Air Libert","","86"
"300","Air Lithuania","","218"
"301","Air Minas Linhas A","","160"
"302","Alan Mann Helicopters Ltd.","","19"
"303","Air Maldives","","70"
"304","Aviation Amos","","4"
"305","Amerer Air","","94"
"306","Air Malawi","","56"
"307","Aeroputul International Marculesti","","100"
"308","Air Montenegro","","104"
"309","Air Montreal (Air Holdings Inc.)","","4"
"310","Aero Transporte S.A. (ATSA)","","168"
"311","Aeromedicare Ltd.","","19"
"312","Air Sicilia","","89"
"313","Air Specialties Corporation","","16"
"314","Air Muskoka","","4"
"315","ATA Airlines","","16"
"316","Air Macau","","250"
"317","AMC Airlines","","73"
"318","Air Midwest","","16"
"319","Air Seychelles","","53"
"320","Air Sofia","","82"
"321","AeroMéxico","","111"
"322","Air Ambar","","107"
"323","Amiya Airline","","10"
"324","All Nippon Airways","ANA All Nippon Airways","156"
"325","Air Navigation And Trading Co. Ltd.","","19"
"326","Anglo Cargo","","19"
"327","Air Nostrum","","60"
"328","Air Niugini","","1"
"329","Air Arabia","","143"
"330","Air Canada","","4"
"331","Airport Bratsk","","190"
"332","Air Wings","","100"
"333","Air Baltic","","217"
"334","Alajnihah for Air Transport","","75"
"335","Air Atlantic (Nig) Limited","","10"
"336","Air Nippon","","156"
"337","Antares Airtransport","","251"
"338","Airnorth","","125"
"339","Aerol","","164"
"340","Andes Lineas Aereas","","138"
"341","Air North Charter - Canada","","4"
"342","Air Nevada","","16"
"343","AOM French Airlines","","86"
"344","Aviacion Del Noroeste","","252"
"345","Air New Zealand","","132"
"346","Avia Jaynar","","187"
"347","Aero Servicios Empresariales","","111"
"348","Alcon Servicios Aereos","","253"
"349","AVCOM","","190"
"350","Aero Vodochody","","91"
"351","Air One Executive","","89"
"352","Atair Pty Ltd.","","32"
"353","Aero VIP","","138"
"354","Aeromundo Ejecutivo","","111"
"355","Aerolinea Muri","","111"
"356","Astoria","","254"
"357","Aero Rent JSC","","190"
"358","Aeronord-Grup","","100"
"359","Aeroatlantico Colombia","","164"
"360","Angkor Airlines","","197"
"361","Aero Entreprise","","86"
"362","As","","255"
"363","Aeropiloto","","95"
"364","Aeroenlaces Nacionales","","111"
"365","Aerovis Airlines","","191"
"366","Avjet International (FZE)","","143"
"367","Aerovista Gulf Express","","143"
"368","Air Vegas","","16"
"369","Almaver","","111"
"370","Afro International Ent. Limited","","10"
"371","Alitalia Express","","89"
"372","Asia Overnight Express","","158"
"373","Air Tractor","","84"
"374","Aero Vision","","86"
"375","Aerotaxi Del Valle","","164"
"376","Air Park Aviation Ltd.","","4"
"377","Airpac Airlines","","256"
"378","Aeroservicios Monterrey","","111"
"379","Amapola Flyg AB","","31"
"380","Air People International","","204"
"381","Alpha Aviation","","257"
"382","ASA Pesada","","258"
"383","Air Print","","259"
"384","Atlantic Airlines","","16"
"385","Aerotransporte Petrolero","","164"
"386","Aero Flight","","15"
"387","ACM Aviation","","16"
"388","Aircompany Barcol","","190"
"389","All Charter Limited","","19"
"390","Appalachian Flying Service","","260"
"391","Airpac","","261"
"392","Aeropro","","4"
"393","Aerolineas Pacifico Atlantico","","262"
"394","Aspen Aviation","","16"
"395","Aeropuma","","263"
"396","Air Plan International","","243"
"397","Arrow Air","","16"
"398","Apex Air Cargo","","16"
"399","APA Internacional","","107"
"400","Aeroatlas","","264"
"401","Aquila Air Ltd.","","4"
"402","Air Queensland","","125"
"403","Aluminum Company Of America","","16"
"404","Aviones de Renta de Quintana Roo","","265"
"405","AirQuarius Aviation","","32"
"406","Aerodyne Charter Company","","16"
"407","Arik Air","","10"
"408","Avia Air N.V.","","181"
"409","Air Routing International Corp.","","16"
"410","Aerocondor","","95"
"411","Aires","","266"
"412","Aerolineas Argentinas","","138"
"413","Arrowhead Airways","","16"
"414","Aero Vics","","111"
"415","Aerojet de Costa Rica","","0"
"416","Antillana De Navegacion Aerea","","107"
"417","Aeroservicios De San Luis","","111"
"418","Aerosuper","","111"
"419","Aero Link Air Services S.L.","","60"
"420","Airlec - Air Aquitaine Transport","","86"
"421","Aeromarket Express","","60"
"422","Arrow Aviation Ltd.","","4"
"423","RPA-Aviataxi Ltd.","","190"
"424","Air Klaipeda","","218"
"425","Armstrong Air","","267"
"426","Air Armenia","","219"
"427","Aeromet Servicios","","161"
"428","Aerotal Aerolineas Territoriales de Colombia Ltda","","164"
"429","Aravco Ltd.","","19"
"430","Aria","","86"
"431","Air Xpress","","268"
"432","Airline Alania","","190"
"433","Air Tchad","","54"
"434","Aerloineas de Techuacan","","111"
"435","Aerotransportes Huitzilin","","111"
"436","Aero Transportes Del Humaya","","111"
"437","Argosy Airways","","16"
"438","Air Resorts","","16"
"439","Alaska Airlines","","269"
"440","Air-Spray 1967 Ltd.","","4"
"441","Air Star Corporation","","4"
"442","Air Sinai","","73"
"443","Airstars","","190"
"444","Air Schefferville","","270"
"445","African Star Airways (PTY) Ltd.","","32"
"446","Aerosun International","","271"
"447","Air Satellite","","4"
"448","Awesome Flight Services (PTY) Ltd.","","32"
"449","Air and Sea Transport","","190"
"450","Aero Slovakia","","105"
"451","Airsprint","","4"
"452","Atlantic Southeast Airlines","","16"
"453","All Star Airlines","","272"
"454","Air Class","","273"
"455","Aerlineas Del Oeste","","111"
"456","Aviones Are","","111"
"457","Air Nepal International","","202"
"458","Air Napier","","132"
"459","Air Taxi & Cargo","","77"
"460","Arrow Panama","","113"
"461","Astravia-Bissau Air Transports Ltd.","","62"
"462","Astrakhan Airlines","","190"
"463","Air Transport Association","","16"
"464","Atlantair Ltd.","","4"
"465","Air Tanzania","","79"
"466","Aerotours Dominicana","","107"
"467","Atlantis Transportation Services","","274"
"468","Aerotrans Airline","","187"
"469","Air Charter World","","16"
"470","Air Burkina","","7"
"471","Air Travel Corp.","","16"
"472","Aero-Tropics Air Services","","125"
"473","Air Traffic GmbH","","15"
"474","AeroTACA","","164"
"475","Aerocentral","","111"
"476","Airlines Of Tasmania","","125"
"477","Air Saint Pierre","","86"
"478","Air Transport International","","16"
"479","ASTRAL Colombia - Aerotransportes Especiales Ltda.","","164"
"480","Air Transport Schiphol","","24"
"481","Aeroferinco","","111"
"482","Aero Taxis Y Servicios Alfe","","111"
"483","Avialesookhrana","","190"
"484","Africair Service","","65"
"485","Atlas Airlines","","16"
"486","Air Transport Service","","243"
"487","Aer Turas","","25"
"488","Atlant Aerobatics Ltd.","","88"
"489","Avanti Air","","15"
"490","Aero Trades (Western) Ltd.","","4"
"491","Austrian Airlines","","94"
"492","Air Southwest","","19"
"493","Augsburg Airways","","15"
"494","Air Corporate","","89"
"495","Aviastar-Tu","","190"
"496","AirBridge Cargo","","190"
"497","ATUR","","162"
"498","ATESA Aerotaxis Ecuatorianos","","162"
"499","Austin Express","","16"
"500","Audi Air","","275"
"501","Augusta Air Luftfahrtunternehmen","","15"
"502","Abu Dhabi Amiri Flight","","143"
"503","Aeroflot-Nord","","190"
"504","Air Atlantic Uruguay","","169"
"505","Aviones Unidos","","111"
"506","Avia Business Group","","190"
"507","Aero Servicios Expecializados","","111"
"508","Aurigny Air Services","","19"
"509","Aus-Air","","125"
"510","Austral Lineas Aereas","","138"
"511","Aurora Aviation","","276"
"512","Air Uganda International Ltd.","","80"
"513","Aerolineas Uruguayas","","277"
"514","Australian Airlines","","125"
"515","Avianca - Aerovias Nacionales de Colombia","","278"
"516","Aviation Beaufort","","19"
"517","Alamo Aviacion","","279"
"518","Aviair Aviation Ltd.","","4"
"519","Air Falcon","","229"
"520","AV8 Helicopters","","19"
"521","Avia Traffic Company","","188"
"522","AV8 Helicopters","","32"
"523","Aviacion Ejecutiva Mexicana","","280"
"524","Air Vanuatu","","130"
"525","Aviation at Work","","32"
"526","Avcorp Registrations","","19"
"527","Alfa Aerospace","","125"
"528","Atlantic Airfreight Aviation","","51"
"529","Aerolift Company","","61"
"530","Aviation Services","","281"
"531","Active Aero Charter","","282"
"532","Avialsa T-35","","60"
"533","Asia Avia Airlines","","205"
"534","Avia Sud A","","86"
"535","Airvantage Incorporated","","16"
"536","Aviator Airways","","85"
"537","Aviapaslauga","","218"
"538","ASL","","14"
"539","Air Yugoslavia","","103"
"540","Airlink Zambia","","43"
"541","Agence Nationale des Aerodromes et de la Meteorologie","","242"
