"planeid","typenum"
"9","E70"
"71","736"
"144","CNJ"
"11","319"
"70","772"
"76","M80"
"49","E90"
"100","717"
"115","75W"
"165","33X"
"153","M1F"
"149","S76"
"4","142"
"3","AN4"
"56","D28"
"102","F70"
"112","73J"
"22","CNC"
"143","BEC"
"45","FRJ"
"117","747"
"152","DH2"
"37","777"
"124","74N"
"147","74L"
"34","YK4"
"92","EMB"
"109","32S"
"43","733"
"159","CN2"
"164","PL2"
"75","ERD"
"1","CR2"
"133","74M"
"137","75T"
"88","345"
"17","BNI"
"60","767"
"131","T20"
"44","BE1"
"57","EM2"
"55","752"
"113","73Q"
"20","DH3"
"135","732"
"93","CRA"
"72","SWM"
"41","73M"
"108","388"
"25","SH6"
"85","762"
"67","739"
"155","A40"
"163","77X"
"33","TU5"
"53","F50"
"38","763"
"52","M83"
"122","74E"
"27","734"
"81","787"
"84","32B"
"129","ER3"
"106","764"
"142","BNT"
"127","D1C"
"18","DH4"
"94","DH1"
"5","141"
"8","CRJ"
"120","F28"
"42","AT4"
"99","343"
"16","ATR"
"61","332"
"101","M88"
"90","AR8"
"26","SU9"
"68","333"
"63","L4T"
"73","CR7"
"50","PAG"
"160","73R"
"6","143"
"128","YN7"
"126","ARJ"
"123","D38"
"104","76W"
"89","32A"
"157","YN2"
"21","AT7"
"156","J32"
"151","CN1"
"119","310"
"132","A58"
"111","EMJ"
"121","DC9"
"2","A81"
"58","PA2"
"114","AR1"
"59","M82"
"46","BEH"
"130","IL9"
"12","320"
"125","342"
"110","74H"
"146","AB4"
"134","AB6"
"96","77L"
"91","73C"
"98","788"
"136","M11"
"140","DH7"
"48","TU3"
"97","E95"
"36","313"
"28","73G"
"158","76F"
"66","73H"
"95","ERJ"
"31","321"
"64","ER4"
"15","SF3"
"86","318"
"51","CNT"
"29","AT5"
"14","ATP"
"139","NDE"
"145","I14"
"39","CNA"
"19","330"
"141","J41"
"161","73N"
"154","DHL"
"10","M87"
"79","340"
"69","77W"
"35","DH8"
"118","S20"
"107","753"
"74","CRK"
"65","73W"
"23","DHP"
"166","32C"
"167","SFB"
"47","738"
"77","E75"
"7","146"
"116","J31"
"82","380"
"138","BH2"
"87","346"
"162","D93"
"40","735"
"30","DHT"
"13","100"
"62","CR9"
"105","74Y"
"32","YK2"
"103","M90"
"148","PA1"
"150","BE9"
"54","MA6"
"78","744"
"80","757"
"83","773"
"24","737"
