"flightairvehicleid","flightid","planeid"
"1","1","1"
"2","2","1"
"3","3","1"
"4","4","1"
"5","5","1"
"6","6","1"
"7","7","1"
"8","8","1"
"9","9","1"
"10","10","1"
"11","11","1"
"12","12","1"
"13","13","1"
"14","14","1"
"15","15","1"
"16","16","1"
"17","17","1"
"18","18","1"
"19","19","1"
"20","20","1"
"21","21","1"
"22","22","1"
"23","23","1"
"24","24","1"
"25","25","1"
"26","26","1"
"27","27","1"
"28","28","1"
"29","29","1"
"30","30","1"
"31","31","1"
"32","32","1"
"33","33","1"
"34","34","1"
"35","35","1"
"36","36","1"
"37","37","1"
"38","38","1"
"39","39","1"
"40","40","1"
"41","41","2"
"42","42","2"
"43","43","2"
"44","44","3"
"45","45","2"
"46","46","3"
"47","47","3"
"48","48","2"
"49","49","3"
"50","50","3"
"51","51","2"
"52","52","2"
"53","53","3"
"54","54","2"
"55","55","2"
"56","56","2"
"57","57","3"
"58","58","3"
"59","59","2"
"60","60","4"
"61","61","4"
"62","61","5"
"63","62","4"
"64","63","5"
"65","64","6"
"66","65","4"
"67","66","4"
"68","67","4"
"69","67","5"
"70","68","5"
"71","69","6"
"72","69","7"
"73","70","4"
"74","70","7"
"75","71","6"
"76","72","6"
"77","72","7"
"78","73","7"
"79","74","4"
"80","75","4"
"81","76","4"
"82","76","7"
"83","77","7"
"84","78","8"
"85","79","9"
"86","79","8"
"87","79","10"
"88","80","8"
"89","81","10"
"90","82","10"
"91","83","8"
"92","84","8"
"93","85","8"
"94","86","10"
"95","87","10"
"96","88","10"
"97","89","10"
"98","90","10"
"99","90","8"
"100","91","8"
"101","92","9"
"102","92","8"
"103","92","10"
"104","93","8"
"105","94","10"
"106","94","8"
"107","95","8"
"108","96","10"
"109","97","10"
"110","98","8"
"111","99","8"
"112","100","11"
"113","101","11"
"114","101","12"
"115","102","11"
"116","103","11"
"117","104","11"
"118","105","11"
"119","105","12"
"120","106","12"
"121","106","11"
"122","107","11"
"123","108","11"
"124","108","12"
"125","109","11"
"126","109","12"
"127","110","11"
"128","111","11"
"129","112","13"
"130","113","13"
"131","114","13"
"132","115","11"
"133","116","11"
"134","117","11"
"135","118","11"
"136","119","11"
"137","120","13"
"138","121","13"
"139","122","13"
"140","123","11"
"141","124","11"
"142","125","11"
"143","126","14"
"144","127","14"
"145","128","15"
"146","129","14"
"147","129","15"
"148","130","14"
"149","131","15"
"150","132","14"
"151","133","15"
"152","134","16"
"153","135","15"
"154","136","15"
"155","137","15"
"156","137","14"
"157","138","15"
"158","139","15"
"159","140","14"
"160","141","14"
"161","142","15"
"162","142","14"
"163","143","14"
"164","143","15"
"165","144","15"
"166","145","15"
"167","146","14"
"168","146","15"
"169","147","14"
"170","147","15"
"171","148","15"
"172","149","14"
"173","150","14"
"174","151","15"
"175","152","14"
"176","153","14"
"177","154","15"
"178","155","15"
"179","156","16"
"180","157","15"
"181","158","15"
"182","159","15"
"183","160","15"
"184","161","15"
"185","162","15"
"186","162","14"
"187","163","15"
"188","164","15"
"189","165","15"
"190","166","15"
"191","167","17"
"192","168","17"
"193","169","17"
"194","170","17"
"195","171","17"
"196","172","17"
"197","173","17"
"198","174","17"
"199","175","17"
"200","176","17"
"201","177","18"
"202","178","12"
"203","179","12"
"204","180","12"
"205","181","18"
"206","182","12"
"207","183","19"
"208","184","12"
"209","185","12"
"210","186","12"
"211","187","18"
"212","188","12"
"213","189","12"
"214","190","12"
"215","191","18"
"216","192","12"
"217","193","19"
"218","194","12"
"219","195","12"
"220","196","12"
"221","197","20"
"222","198","12"
"223","199","12"
"224","200","12"
"225","201","18"
"226","202","18"
"227","203","12"
"228","204","20"
"229","205","12"
"230","206","12"
"231","207","12"
"232","208","18"
"233","209","18"
"234","210","12"
"235","211","21"
"236","212","21"
"237","213","21"
"238","214","21"
"239","215","21"
"240","216","21"
"241","217","21"
"242","218","21"
"243","219","21"
"244","220","21"
"245","221","21"
"246","222","21"
"247","223","21"
"248","224","21"
"249","225","21"
"250","226","21"
"251","227","21"
"252","228","21"
"253","229","21"
"254","230","21"
"255","231","21"
"256","232","21"
"257","233","21"
"258","234","21"
"259","235","21"
"260","236","21"
"261","237","21"
"262","238","21"
"263","239","21"
"264","240","21"
"265","241","21"
"266","242","21"
"267","243","21"
"268","244","21"
"269","245","21"
"270","246","21"
"271","247","21"
"272","248","21"
"273","249","21"
"274","250","21"
"275","251","21"
"276","252","21"
"277","253","21"
"278","254","21"
"279","255","21"
"280","256","21"
"281","257","22"
"282","258","22"
"283","259","22"
"284","260","22"
"285","261","22"
"286","262","22"
"287","263","22"
"288","264","22"
"289","265","22"
"290","266","22"
"291","267","23"
"292","268","23"
"293","269","23"
"294","270","23"
"295","271","23"
"296","272","23"
"297","273","23"
"298","274","23"
"299","275","23"
"300","276","23"
"301","277","23"
